date,regime,confidence,stability,duration_days,active_buckets,portfolio_return_in_regime
2025-02-20,DEFLATION,0.0,0.0,104,"Defensive Assets,Low Beta",-0.5076
2025-06-04,GOLDILOCKS,0.0,0.0,52,"Risk Assets,High Beta,Cyclicals",3.5044
