date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2023-01-04,99983.09,93942.3484,2,-0.0002,-0.0002,-0.0169,0.0,DEFLATION,0.0
2023-01-05,99911.71,93942.3484,2,-0.0007,-0.0009,-0.0883,0.0,DEFLATION,0.0
2023-01-06,100021.69,93942.3484,2,0.0011,0.0002,0.0,0.0,DEFLATION,0.0
2023-01-09,100035.91,93942.3484,2,0.0001,0.0004,0.0,0.0,DEFLATION,0.0
2023-01-10,100057.71,93942.3484,2,0.0002,0.0006,0.0,0.0,DEFLATION,0.0
