date,regime,confidence,stability,duration_days,active_buckets,portfolio_return_in_regime
2025-01-02,REFLATION,0.0,0.0,36,"Risk Assets,High Beta,Cyclicals,International",2.0698
2025-02-07,DEFLATION,0.0,0.0,117,"Defensive Assets,Low Beta",0.4736
2025-06-04,GOLDILOCKS,0.0,0.0,54,"Risk Assets,High Beta,Cyclicals",3.5987
