date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-05,NOW,2,1059.3,2147.54,2.1248,0.0,Risk Assets,1,false
2025-01-05,CRM,9,332.1,2996.1,2.9644,0.0,Unknown,1,false
2025-01-05,CRWD,8,349.23,2872.16,2.8417,0.0,Risk Assets,1,false
2025-01-05,NVDA,21,140.01,3033.87,3.0017,0.0,Risk Assets,1,false
2025-01-05,AMT,16,181.25,2920.96,2.89,0.0,Risk Assets,1,false
2025-01-05,XLY,22,222.64,4969.36,4.9167,0.0,Cyclicals,1,false
2025-01-05,WMT,33,90.15,2995.74,2.964,0.0,Risk Assets,1,false
2025-01-05,MSFT,7,421.08,2963.45,2.9321,0.0,Risk Assets,1,false
2025-01-05,CME,12,231.64,2790.0,2.7604,0.0,Risk Assets,1,false
2025-01-05,COP,29,100.62,2931.61,2.9006,0.0,Risk Assets,1,false
2025-01-05,KO,48,61.9,2964.0,2.9326,0.0,Risk Assets,1,false
2025-01-05,APH,43,69.45,3014.3,2.9824,0.0,Risk Assets,1,false
2025-01-05,JPM,12,243.89,2919.36,2.8884,0.0,Risk Assets,1,false
2025-01-05,MA,5,522.53,2606.8,2.5792,0.0,Risk Assets,1,false
2025-01-05,AVGO,12,233.59,2790.6,2.761,0.0,Risk Assets,1,false
2025-01-05,ANET,26,112.48,2995.2,2.9635,0.0,Risk Assets,1,false
2025-01-05,LOW,12,248.12,2981.76,2.9502,0.0,Risk Assets,1,false
2025-01-05,GOOG,15,192.72,2896.95,2.8663,0.0,Risk Assets,1,false
2025-01-05,XRP,1249,2.4,2996.35,2.9646,0.0,Unknown,1,false
2025-01-05,AMZN,13,222.5,2914.47,2.8836,0.0,Risk Assets,1,false
2025-01-05,NFLX,3,893.13,2643.15,2.6152,0.0,Risk Assets,1,false
2025-01-05,HON,13,225.98,2944.76,2.9136,0.0,Risk Assets,1,false
2025-01-05,BA,17,171.4,2888.3,2.8577,0.0,Risk Assets,1,false
2025-01-05,GOOGL,15,191.37,2876.85,2.8464,0.0,Risk Assets,1,false
2025-01-05,DAI,3000,1.0,2999.7,2.9679,0.0,High Beta,1,false
2025-01-05,AAPL,12,243.36,2920.32,2.8894,0.0,Risk Assets,1,false
2025-01-05,DIS,27,111.37,3001.32,2.9695,0.0,Risk Assets,1,false
2025-01-06,SPHB,33,89.17,3037.32,2.9897,0.0,High Beta,1,false
2025-01-06,PFE,112,26.7,3011.68,2.9645,0.0,Risk Assets,1,false
2025-01-06,TSLA,7,381.48,2877.35,2.8323,0.0,Risk Assets,1,false
2025-01-06,SOL,14,208.1,3056.76,3.0089,0.0,Unknown,1,false
2025-01-06,RKLB,120,25.02,3456.0,3.4019,0.0,Risk Assets,1,false
2025-01-06,CSCO,50,58.84,2938.5,2.8925,0.0,Risk Assets,1,false
2025-01-06,COST,3,914.33,2768.13,2.7248,0.0,Risk Assets,1,false
2025-01-06,NOW,2,1059.3,2154.1,2.1204,0.0,Risk Assets,1,false
2025-01-06,CRM,9,332.1,2974.77,2.9282,0.0,Unknown,1,false
2025-01-06,CRWD,8,349.23,2930.88,2.885,0.0,Risk Assets,1,false
2025-01-06,NVDA,21,140.01,3138.03,3.0889,0.0,Risk Assets,1,false
2025-01-06,AMT,16,181.25,2884.16,2.839,0.0,Risk Assets,1,false
2025-01-06,XLY,22,222.64,4988.94,4.9108,0.0,Cyclicals,1,false
2025-01-06,WMT,33,90.15,3017.19,2.9699,0.0,Risk Assets,1,false
2025-01-06,MSFT,7,421.08,2994.95,2.948,0.0,Risk Assets,1,false
2025-01-06,CME,12,231.64,2709.84,2.6674,0.0,Risk Assets,1,false
2025-01-06,COP,29,100.62,2899.71,2.8543,0.0,Risk Assets,1,false
2025-01-06,KO,48,61.9,2918.88,2.8732,0.0,Risk Assets,1,false
2025-01-06,APH,43,69.45,3058.59,3.0107,0.0,Risk Assets,1,false
2025-01-06,JPM,12,243.89,2890.2,2.8449,0.0,Risk Assets,1,false
