date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2023-02-10,BAR,164,18.41,3029.08,3.0286,0.0,Unknown,1,false
2023-02-10,IAU,86,35.26,3040.1,3.0396,0.0,Unknown,1,false
2023-02-10,AAAU,143,18.66,2644.07,2.6437,0.0,Unknown,1,false
2023-02-13,BAR,164,18.41,3011.04,3.012,0.0,Unknown,1,false
2023-02-13,IAU,86,35.26,3025.48,3.0265,0.0,Unknown,1,false
2023-02-13,AAAU,143,18.66,2628.34,2.6292,0.0,Unknown,1,false
2023-02-14,BAR,164,18.41,3014.32,3.0151,0.0,Unknown,1,false
2023-02-14,IAU,86,35.26,3027.2,3.028,0.0,Unknown,1,false
2023-02-14,AAAU,143,18.66,2631.2,2.6319,0.0,Unknown,1,false
2023-02-15,BAR,164,18.41,2983.16,2.9865,0.0,Unknown,1,false
2023-02-15,IAU,86,35.26,2996.24,2.9996,0.0,Unknown,1,false
2023-02-15,AAAU,143,18.66,2606.18,2.6091,0.0,Unknown,1,false
2023-02-16,BAR,164,18.41,2981.52,2.985,0.0,Unknown,1,false
2023-02-16,IAU,86,35.26,2996.24,2.9997,0.0,Unknown,1,false
2023-02-16,AAAU,143,18.66,2604.03,2.6071,0.0,Unknown,1,false
2023-02-17,BAR,164,18.41,2989.72,2.9925,0.0,Unknown,1,false
2023-02-17,IAU,86,35.26,3003.98,3.0068,0.0,Unknown,1,false
2023-02-17,AAAU,143,18.66,2611.9,2.6143,0.0,Unknown,1,false
2023-02-21,BAR,164,18.41,2979.88,2.9836,0.0,Unknown,1,false
2023-02-21,IAU,86,35.26,2991.94,2.9956,0.0,Unknown,1,false
2023-02-21,AAAU,143,18.66,2602.6,2.6058,0.0,Unknown,1,false
2023-02-22,BAR,164,18.41,2962.66,2.9678,0.0,Unknown,1,false
2023-02-22,IAU,86,35.26,2976.46,2.9816,0.0,Unknown,1,false
2023-02-22,AAAU,143,18.66,2586.87,2.5913,0.0,Unknown,1,false
2023-02-23,BAR,164,18.41,2960.2,2.9655,0.0,Unknown,1,false
2023-02-23,IAU,86,35.26,2973.88,2.9792,0.0,Unknown,1,false
2023-02-23,AAAU,143,18.66,2586.16,2.5908,0.0,Unknown,1,false
2023-02-24,BAR,164,18.41,2942.16,2.9491,0.0,Unknown,1,false
2023-02-24,IAU,86,35.26,2952.38,2.9593,0.0,Unknown,1,false
2023-02-24,AAAU,143,18.66,2568.28,2.5743,0.0,Unknown,1,false
2023-02-27,BAR,164,18.41,2952.0,2.9581,0.0,Unknown,1,false
2023-02-27,IAU,86,35.26,2962.7,2.9688,0.0,Unknown,1,false
2023-02-27,AAAU,143,18.66,2577.57,2.5829,0.0,Unknown,1,false
2023-02-28,BAR,164,18.41,2965.94,2.9708,0.0,Unknown,1,false
2023-02-28,IAU,86,35.26,2977.32,2.9822,0.0,Unknown,1,false
2023-02-28,AAAU,143,18.66,2591.16,2.5954,0.0,Unknown,1,false
