date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-06-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-21,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-22,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-23,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-26,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-27,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-28,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-06-29,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
