date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-04,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-05,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-11,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-12,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-17,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-18,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-19,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-20,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-23,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-24,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-25,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-26,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-27,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-30,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-01-31,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-01,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-06,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-07,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-08,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-09,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-10,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-13,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-14,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-16,100000.0,100000.0,0,0.0,0.0,0.0,0.0,Unknown,0.0
2023-02-17,100030.95,936.211133,1,0.0003,0.0003,0.0,2.898275,Unknown,0.0
2023-02-21,97387.14,936.211133,1,-0.0264,-0.0261,-2.643,-2.862983,Unknown,0.0
2023-02-22,97543.76,97543.755309,0,0.0016,-0.0246,-2.4864,-2.676244,Unknown,0.0
2023-02-23,97543.76,97543.755309,0,0.0,-0.0246,-2.4864,-2.676244,Unknown,0.0
2023-02-24,97543.76,97543.755309,0,0.0,-0.0246,-2.4864,-2.676244,Unknown,0.0
2023-02-27,97543.76,97543.755309,0,0.0,-0.0246,-2.4864,-2.676244,Unknown,0.0
