date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-15,100000.0,100000.0,0,0.0,0.0,0.0,0.0,REFLATION,0.0
2025-01-16,99994.47,93980.54656,2,-0.0001,-0.0001,-0.0055,0.0,REFLATION,0.0
2025-01-17,99961.11,93980.54656,2,-0.0003,-0.0004,-0.0389,0.0,REFLATION,0.0
