date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2023-01-04,99983.99,93948.71476,2,-0.0002,-0.0002,-0.016,0.0,DEFLATION,0.0
2023-01-05,99909.63,93948.71476,2,-0.0007,-0.0009,-0.0904,0.0,DEFLATION,0.0
2023-01-06,100022.37,93948.71476,2,0.0011,0.0002,0.0,0.0,DEFLATION,0.0
2023-01-09,100037.37,93948.71476,2,0.0001,0.0004,0.0,0.0,DEFLATION,0.0
2023-01-10,100060.75,93948.71476,2,0.0002,0.0006,0.0,0.0,DEFLATION,0.0
