date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2023-01-03,100000.0,100000.0,0,0.0,0.0,0.0,0.0,DEFLATION,0.0
2023-01-04,99984.25,94036.18214,2,-0.0002,-0.0002,-0.0157,0.0,DEFLATION,0.0
2023-01-05,99912.44,94036.18214,2,-0.0007,-0.0009,-0.0876,0.0,DEFLATION,0.0
2023-01-06,100021.61,94036.18214,2,0.0011,0.0002,0.0,0.0,DEFLATION,0.0
2023-01-09,100036.44,94036.18214,2,0.0001,0.0004,0.0,0.0,DEFLATION,0.0
2023-01-10,100058.8,94036.18214,2,0.0002,0.0006,0.0,0.0,DEFLATION,0.0
