date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-01-02,100000.0,100000.0,0,0.0,0.0,0.0,0.0,REFLATION,0.0
2025-01-03,100203.0,89528.05852,3,0.002,0.002,0.0,0.0,REFLATION,0.0
2025-01-06,100037.83,89528.05852,3,-0.0016,0.0004,-0.1648,0.0,REFLATION,0.0
2025-01-07,99973.83,89528.05852,3,-0.0006,-0.0003,-0.2287,0.0,REFLATION,0.0
2025-01-08,100025.5,89528.05852,3,0.0005,0.0003,-0.1771,0.0,REFLATION,0.0
2025-01-10,99982.88,89528.05852,3,-0.0004,-0.0002,-0.2197,0.0,REFLATION,0.0
