date,portfolio_value,cash,total_positions,daily_return,cumulative_return,drawdown_pct,sharpe_30d,regime,regime_confidence
2025-07-23,100000.0,100000.0,0,0.0,0.0,0.0,0.0,GOLDILOCKS,0.0
2025-07-24,100014.13,94094.29019,2,0.0001,0.0001,0.0,0.0,GOLDILOCKS,0.0
2025-07-25,99957.61,94094.29019,2,-0.0006,-0.0004,-0.0565,0.0,GOLDILOCKS,0.0
